input time
0 0.185966491699218750000000000000
25 0.724792480468750000000000000000
50 1.444816589355468750000000000000
75 0.951290130615234375000000000000
100 0.925064086914062500000000000000
125 0.984668731689453125000000000000
150 1.087188720703125000000000000000
175 1.101493835449218750000000000000
200 1.039505004882812500000000000000
225 1.075267791748046875000000000000
250 1.277923583984375000000000000000
275 1.249313354492187500000000000000
300 1.270771026611328125000000000000
325 1.246929168701171875000000000000
350 1.294612884521484375000000000000
375 1.289844512939453125000000000000
400 1.261234283447265625000000000000
425 1.294612884521484375000000000000
450 1.280307769775390625000000000000
475 1.370906829833984375000000000000
500 1.378059387207031250000000000000
525 1.540184020996093750000000000000
550 1.492500305175781250000000000000
575 1.561641693115234375000000000000
600 1.513957977294921875000000000000
625 1.564025878906250000000000000000
650 1.561641693115234375000000000000
675 1.578330993652343750000000000000
700 1.723766326904296875000000000000
725 1.614093780517578125000000000000
750 1.673698425292968750000000000000
775 1.573562622070312500000000000000
800 1.604557037353515625000000000000
825 1.771450042724609375000000000000
850 1.654624938964843750000000000000
875 1.711845397949218750000000000000
900 1.661777496337890625000000000000
925 1.711845397949218750000000000000
950 1.771450042724609375000000000000
975 1.883506774902343750000000000000
1000 1.800060272216796875000000000000
